index	disease	molecular_type	source	process	date	file
1	acc	cnv	ucsc	gistic2thd	2015-02-24	ucsc_acc_cnv_gistic2thd_2015-02-24.json
2	blca	cnv	ucsc	gistic2thd	2015-02-24	ucsc_blca_cnv_gistic2thd_2015-02-24.json
3	blca	mutation_01	ucsc	mutation_broad_gene	2015-02-24	ucsc_blca_mutation_01_mutation_broad_gene_2015-02-24.json
4	brca	cnv	ucsc	gistic2thd	2015-02-24	ucsc_brca_cnv_gistic2thd_2015-02-24.json
5	cesc	cnv	ucsc	gistic2thd	2015-02-24	ucsc_cesc_cnv_gistic2thd_2015-02-24.json
6	chol	cnv	ucsc	gistic2thd	2015-02-24	ucsc_chol_cnv_gistic2thd_2015-02-24.json
7	coadread	cnv	ucsc	gistic2thd	2015-02-24	ucsc_coadread_cnv_gistic2thd_2015-02-24.json
8	coadread	mutation_01	ucsc	mutation	2015-02-24	ucsc_coadread_mutation_01_mutation_2015-02-24.json
9	dlbc	cnv	ucsc	gistic2thd	2015-02-24	ucsc_dlbc_cnv_gistic2thd_2015-02-24.json
10	esca	cnv	ucsc	gistic2thd	2015-02-24	ucsc_esca_cnv_gistic2thd_2015-02-24.json
11	gbm	cnv	ucsc	gistic2thd	2015-02-24	ucsc_gbm_cnv_gistic2thd_2015-02-24.json
12	gbm	mutation_01	ucsc	mutation_broad_gene	2015-02-24	ucsc_gbm_mutation_01_mutation_broad_gene_2015-02-24.json
13	hnsc	cnv	ucsc	gistic2thd	2015-02-24	ucsc_hnsc_cnv_gistic2thd_2015-02-24.json
14	hnsc	mutation_01	ucsc	mutation_broad_gene	2015-02-24	ucsc_hnsc_mutation_01_mutation_broad_gene_2015-02-24.json
15	laml	cnv	ucsc	gistic2thd	2015-02-24	ucsc_laml_cnv_gistic2thd_2015-02-24.json
16	laml	mutation_01	ucsc	mutation	2015-02-24	ucsc_laml_mutation_01_mutation_2015-02-24.json
17	lgg	cnv	ucsc	gistic2thd	2015-02-24	ucsc_lgg_cnv_gistic2thd_2015-02-24.json
18	lgg	mutation_01	ucsc	mutation_broad_gene	2015-02-24	ucsc_lgg_mutation_01_mutation_broad_gene_2015-02-24.json
19	luad	cnv	ucsc	gistic2thd	2015-02-24	ucsc_luad_cnv_gistic2thd_2015-02-24.json
20	luad	mutation_01	ucsc	mutation_broad_gene	2015-02-24	ucsc_luad_mutation_01_mutation_broad_gene_2015-02-24.json
21	lung	cnv	ucsc	gistic2thd	2015-02-24	ucsc_lung_cnv_gistic2thd_2015-02-24.json
22	lung	mutation_01	ucsc	mutation	2015-02-24	ucsc_lung_mutation_01_mutation_2015-02-24.json
23	lusc	cnv	ucsc	gistic2thd	2015-02-24	ucsc_lusc_cnv_gistic2thd_2015-02-24.json
24	lusc	mutation_01	ucsc	mutation_broad_gene	2015-02-24	ucsc_lusc_mutation_01_mutation_broad_gene_2015-02-24.json
25	paad	cnv	ucsc	gistic2thd	2015-02-24	ucsc_paad_cnv_gistic2thd_2015-02-24.json
26	paad	mutation_01	ucsc	mutation_broad_gene	2015-02-24	ucsc_paad_mutation_01_mutation_broad_gene_2015-02-24.json
27	prad	cnv	ucsc	gistic2thd	2015-02-24	ucsc_prad_cnv_gistic2thd_2015-02-24.json
28	prad	mutation_01	ucsc	mutation_broad_gene	2015-02-24	ucsc_prad_mutation_01_mutation_broad_gene_2015-02-24.json
29	sarc	cnv	ucsc	gistic2thd	2015-02-24	ucsc_sarc_cnv_gistic2thd_2015-02-24.json
30	stad	mutation_01	ucsc	mutation_bcm_gene	2015-02-24	ucsc_stad_mutation_01_mutation_bcm_gene_2015-02-24.json
